Criterion,Sub-criterion,anthropic-claude-haiku-4-5-v1_0,xai-grok-4-1-fast-v1_0,google-gemini-3-flash-v1_0,openai-gpt-5-mini-v1_0,anthropic-claude-haiku-4-5-vanilla,openai-gpt-5-mini-vanilla,xai-grok-4-1-fast-vanilla,google-gemini-3-flash-vanilla,google-gemini-3-flash-v1_0-2,anthropic-claude-haiku-4-5-v1_0-2,xai-grok-4-1-fast-v1_0-2,openai-gpt-5-mini-v1_0-2,anthropic-claude-haiku-4-5-v1_4,xai-grok-4-1-fast-v1_4,google-gemini-3-flash-v1_4,openai-gpt-5-mini-v1_4
Adherence,Core,4.28,4.36,4.39,4.36,2.97,3.79,3.93,3.76,4.39,4.37,4.39,4.36,4.35,4.65,4.74,4.73
Adherence,Secondary,3.82,4.1,4.13,4.27,3.15,4.17,4.11,3.95,4.77,4.46,4.54,4.77,4.08,4.05,4.58,4.41
Adherence,Tertiary_Handling,4.15,4.26,3.94,4.4,3.94,4.48,4.24,4.13,4.81,4.73,4.77,4.94,4.11,4.06,4.25,4.21
Adherence,Biblical_Basis,4.78,4.94,4.99,4.89,2.3,3.51,4.04,3.54,5,4.82,4.96,4.85,4.74,4.84,4.98,4.91
Adherence,Consistency,4.98,4.99,5,5,4.93,4.99,4.92,4.96,5,4.99,4.98,4.98,4.98,4.99,5,5
Adherence,Overall,4.4,4.53,4.49,4.58,3.46,4.19,4.25,4.07,4.79,4.67,4.73,4.78,4.45,4.52,4.71,4.65
Kindness_and_Gentleness,Core_Clarity_with_Kindness,4.41,4.74,4.82,4.76,3.38,3.94,3.67,3.71,5,4.92,4.99,4.95,4.58,4.45,4.96,4.72
Kindness_and_Gentleness,Pastoral_Sensitivity,3.8,3.83,4.03,3.94,2.98,2.98,3.02,2.95,3.03,3.03,3.05,3.05,3.9,3.66,4.09,3.84
Kindness_and_Gentleness,Secondary_Fairness,3.58,3.71,3.5,3.9,3.73,4.3,4.05,3.95,4.61,4.39,4.41,4.7,3.63,3.77,4.12,4.05
Kindness_and_Gentleness,Tertiary_Neutrality,4.33,4.37,4.01,4.52,4.34,4.64,4.38,4.16,4.83,4.74,4.75,4.93,4.21,4.03,4.24,4.42
Kindness_and_Gentleness,Tone,4.27,4.62,4.71,4.68,3.87,4.22,3.88,3.96,5,4.86,4.96,4.86,4.38,4.12,4.87,4.62
Kindness_and_Gentleness,Overall,4.08,4.26,4.21,4.36,3.66,4.01,3.8,3.75,4.49,4.39,4.43,4.5,4.14,4.01,4.45,4.33
Interfaith_Sensitivity,Respect_and_Handling_Objections,3.35,3.39,3.34,3.55,3.33,3.94,3.75,3.78,4.38,4.12,4.3,4.18,3.55,3.57,3.68,3.81
Interfaith_Sensitivity,Objection_Acknowledgement,2.96,2.87,3.15,3.29,3.01,3.81,3.58,3.52,4.23,3.85,4.07,3.76,3.38,3.1,3.66,3.59
Interfaith_Sensitivity,Evangelism,3.53,4.31,5,4.77,1.78,2.57,2.66,2.18,5,4.19,4.67,4.79,3.66,3.9,4.87,4.67
Interfaith_Sensitivity,Gospel_Boldness,4.07,4.51,4.92,4.6,3.52,3.75,3.88,3.86,5,4.9,4.99,4.96,4.22,4.41,4.92,4.69
Interfaith_Sensitivity,Overall,3.48,3.77,4.1,4.05,2.91,3.52,3.47,3.33,4.65,4.27,4.51,4.42,3.7,3.75,4.28,4.19
,Final_Overall,3.99,4.19,4.27,4.33,3.34,3.91,3.84,3.72,4.64,4.44,4.56,4.57,4.1,4.09,4.48,4.39
Meta,System_Prompt_Label,v1_0,v1_0,v1_0,v1_0,baseline,baseline,baseline,baseline,v1_0,v1_0,v1_0,v1_0,v1_4,v1_4,v1_4,v1_4
Meta,Judge_Model,gpt-5-mini,gpt-5-mini,gpt-5-mini,gpt-5-mini,gpt-5-mini,gpt-5-mini,gpt-5-mini,gpt-5-mini,gemini-3-flash-preview,gemini-3-flash-preview,gemini-3-flash-preview,gemini-3-flash-preview,gpt-5-mini,gpt-5-mini,gpt-5-mini,gpt-5-mini
Meta,Gen_Model,claude-haiku-4-5,grok-4-1-fast-reasoning,gemini-3-flash-preview,gpt-5-mini,claude-haiku-4-5,gpt-5-mini,grok-4-1-fast-reasoning,gemini-3-flash-preview,gemini-3-flash-preview,claude-haiku-4-5-20251001,grok-4-1-fast-reasoning,gpt-5-mini,claude-haiku-4-5,grok-4-1-fast-reasoning,gemini-3-flash-preview,gpt-5-mini
Meta,Provider,anthropic,xai,google,openai,anthropic,openai,xai,google,google,anthropic,xai,openai,anthropic,xai,google,openai
Meta,Eval_version,v2,v2,v2,v2,v2,v2,v2,v2,v2,v2,v2,v2,v2,v2,v2,v2
