Criterion,Sub-criterion,google-gemini-2.5-flash-v1_0,google-gemini-2.5-flash-v1_0-2,google-gemini-2-5-flash-v1_0-3,xai-grok-4-1-fast-v1_0,xai-grok-4-1-fast-v1_0-2,xai-grok-4-1-fast-v1_0-3,openai-gpt-5-mini-v1_0,openai-gpt-5-mini-v1_0-2,openai-gpt-5-mini-v1_0-3,claude-haiku-4-5-v1_0,anthropic-claude-haiku-4-5-v1_0-2,anthropic-claude-haiku-4-5-v1_0-3,google-gemini-2.0-flash-v1_0,openai-gpt-4.1-mini-v1_0,xai-grok-3-mini-v1_0,google-gemini-2.5-flash-vanilla,xai-grok-4-1-fast-vanilla,openai-gpt-5-mini-vanilla,claude-haiku-4-5-vanilla,google-gemini-3-flash-vanilla,google-gemini-3-flash-v1_0,google-gemini-3-flash-v1_0-2,google-gemini-3-flash-v1_0-3
Adherence,Core,4.98,5,5,4.98,5,4.97,4.97,4.99,4.99,4.98,4.99,5,4.94,4.98,4.96,4.38,4.78,4.76,4.56,4.73,4.99,5,5
Adherence,Secondary,4.86,4.99,4.83,4.87,4.97,4.8,4.96,4.99,4.91,4.86,4.99,4.75,4.76,4.81,4.81,4.48,4.84,4.86,4.64,4.8,4.84,4.99,4.71
Adherence,Tertiary_Handling,4.75,4.99,4.9,4.81,4.99,4.87,4.94,4.99,4.97,4.75,4.99,4.89,4.64,4.72,4.69,4.43,4.85,4.9,4.73,4.81,4.71,4.98,4.77
Adherence,Biblical_Basis,4.97,4.99,4.98,4.97,4.99,4.96,4.95,4.98,4.95,4.89,4.95,4.94,4.88,4.94,4.9,3.95,4.5,4.32,3.7,4.29,4.99,5,5
Adherence,Consistency,4.99,5,5,4.99,5,5,5,5,5,4.98,5,5,4.97,4.99,4.99,4.61,4.97,4.99,4.96,4.96,5,5,5
Adherence,Overall,4.96,5,5,4.98,5,4.97,4.98,5,4.99,4.94,5,5,4.92,4.95,4.93,4.43,4.82,4.81,4.58,4.76,4.98,5,5
Kindness_and_Gentleness,Core_Clarity_with_Kindness,4.93,5,5,4.96,5,5,4.99,5,5,4.96,5,5,4.94,4.98,4.98,4.49,4.8,4.87,4.7,4.84,4.97,5,5
Kindness_and_Gentleness,Pastoral_Sensitivity,4.84,4.97,4.99,4.95,4.99,4.98,4.97,5,4.98,4.92,4.98,5,4.75,4.94,4.97,4.31,4.69,4.87,4.7,4.7,4.92,4.99,4.99
Kindness_and_Gentleness,Secondary_Fairness,4.81,4.99,4.91,4.87,4.99,4.9,4.97,5,4.97,4.85,5,4.91,4.78,4.85,4.84,4.53,4.88,4.96,4.84,4.88,4.85,4.99,4.77
Kindness_and_Gentleness,Tertiary_Neutrality,4.86,4.99,4.92,4.89,4.99,4.91,4.98,5,4.97,4.86,4.99,4.92,4.81,4.9,4.9,4.52,4.89,4.97,4.89,4.88,4.86,4.99,4.77
